ts,session,recovered,t_to_recovery_hr,next_auto_verb,t_to_next_op_hr
2026-02-16 13:49:05+00:00,97,True,0.0988888888888888,ANALYZE,22.61611111111111
2026-02-16 13:49:11+00:00,96,True,0.0972222222222222,ANALYZE,22.614444444444445
2026-02-16 18:08:51+00:00,131,True,0.0161111111111111,ANALYZE,18.286666666666665
2026-02-16 18:08:55+00:00,130,True,0.015,ANALYZE,18.28555555555555
2026-02-16 18:53:32+00:00,139,True,0.13,ANALYZE,17.541944444444443
2026-02-16 18:53:45+00:00,138,True,0.1263888888888888,ANALYZE,17.538333333333334
2026-02-16 21:12:46+00:00,159,True,0.0938888888888888,RUN,15.221388888888889
2026-02-16 21:12:56+00:00,158,True,0.0911111111111111,RUN,15.21861111111111
2026-02-17 00:00:01+00:00,188,True,0.0844444444444444,CRITIQUE,12.43388888888889
2026-02-17 02:37:23+00:00,219,True,0.0838888888888888,RUN,9.811111111111112
2026-02-17 03:17:43+00:00,227,True,0.0841666666666666,RUN,9.13888888888889
2026-02-17 05:33:52+00:00,254,True,0.0841666666666666,SURVEY,6.869722222222222
2026-02-17 08:45:35+00:00,292,True,0.0838888888888888,CRITIQUE,3.6744444444444446
2026-02-17 09:30:57+00:00,301,True,0.0841666666666666,SURVEY,2.9183333333333334
2026-02-17 15:14:34+00:00,1677,True,0.1294444444444444,SYNTHESIZE,0.3516666666666667
2026-02-17 15:15:11+00:00,1676,True,0.1191666666666666,SYNTHESIZE,0.3413888888888889
2026-02-17 18:13:18+00:00,1689,True,0.1238888888888889,CRITIQUE,11.484444444444444
2026-02-17 18:13:22+00:00,1688,True,0.1227777777777777,CRITIQUE,11.483333333333333
2026-02-17 22:23:08+00:00,1716,True,0.1383333333333333,RUN,7.320555555555556
2026-02-18 08:22:29+00:00,1772,True,0.1547222222222222,ANALYZE,2.493611111111111
2026-02-18 08:23:01+00:00,1771,True,0.1458333333333333,ANALYZE,2.484722222222222
2026-02-18 11:45:33+00:00,1792,True,0.5222222222222223,RUN,28.50027777777778
2026-02-18 11:45:43+00:00,1791,True,0.5194444444444445,RUN,28.4975
2026-02-18 12:03:28+00:00,1793,True,0.2236111111111111,RUN,28.201666666666668
2026-02-18 12:03:34+00:00,1792,True,0.2219444444444444,RUN,28.2
2026-02-18 15:00:01+00:00,1809,True,0.1488888888888888,HYPOTHESIZE,25.259166666666665
2026-02-18 15:00:16+00:00,1808,True,0.1447222222222222,HYPOTHESIZE,25.255
2026-02-18 22:42:17+00:00,1863,True,0.1244444444444444,SYNTHESIZE,17.55472222222222
2026-02-18 22:42:24+00:00,1862,True,0.1225,SYNTHESIZE,17.552777777777777
2026-02-19 03:40:07+00:00,1900,True,0.0963888888888888,BUILD,12.590833333333334
